"V1" "V2" "V3" "V4" "V5" "V6"
39 " Bachelors" " Never-married" " White" " Male" 40
50 " Bachelors" " Married-civ-spouse" " White" " Male" 13
38 " HS-grad" " Divorced" " White" " Male" 40
53 " 11th" " Married-civ-spouse" " Black" " Male" 40
28 " Bachelors" " Married-civ-spouse" " Black" " Female" 40
37 " Masters" " Married-civ-spouse" " White" " Female" 40
49 " 9th" " Married-spouse-absent" " Black" " Female" 16
52 " HS-grad" " Married-civ-spouse" " White" " Male" 45
31 " Masters" " Never-married" " White" " Female" 50
42 " Bachelors" " Married-civ-spouse" " White" " Male" 40
37 " Some-college" " Married-civ-spouse" " Black" " Male" 80
30 " Bachelors" " Married-civ-spouse" " Asian-Pac-Islander" " Male" 40
23 " Bachelors" " Never-married" " White" " Female" 30
32 " Assoc-acdm" " Never-married" " Black" " Male" 50
40 " Assoc-voc" " Married-civ-spouse" " Asian-Pac-Islander" " Male" 40
34 " 7th-8th" " Married-civ-spouse" " Amer-Indian-Eskimo" " Male" 45
25 " HS-grad" " Never-married" " White" " Male" 35
32 " HS-grad" " Never-married" " White" " Male" 40
38 " 11th" " Married-civ-spouse" " White" " Male" 50
43 " Masters" " Divorced" " White" " Female" 45
40 " Doctorate" " Married-civ-spouse" " White" " Male" 60
54 " HS-grad" " Separated" " Black" " Female" 20
35 " 9th" " Married-civ-spouse" " Black" " Male" 40
43 " 11th" " Married-civ-spouse" " White" " Male" 40
59 " HS-grad" " Divorced" " White" " Female" 40
56 " Bachelors" " Married-civ-spouse" " White" " Male" 40
19 " HS-grad" " Never-married" " White" " Male" 40
54 " Some-college" " Married-civ-spouse" " Asian-Pac-Islander" " Male" 60
39 " HS-grad" " Divorced" " White" " Male" 80
49 " HS-grad" " Married-civ-spouse" " White" " Male" 40
23 " Assoc-acdm" " Never-married" " White" " Male" 52
20 " Some-college" " Never-married" " Black" " Male" 44
45 " Bachelors" " Divorced" " White" " Male" 40
30 " Some-college" " Married-civ-spouse" " White" " Male" 40
22 " Some-college" " Married-civ-spouse" " Black" " Male" 15
48 " 11th" " Never-married" " White" " Male" 40
21 " Some-college" " Never-married" " White" " Male" 40
19 " HS-grad" " Married-AF-spouse" " White" " Female" 25
31 " Some-college" " Married-civ-spouse" " White" " Male" 38
48 " Assoc-acdm" " Married-civ-spouse" " White" " Male" 40
31 " 9th" " Married-civ-spouse" " White" " Male" 43
53 " Bachelors" " Married-civ-spouse" " White" " Male" 40
24 " Bachelors" " Married-civ-spouse" " White" " Male" 50
49 " HS-grad" " Separated" " White" " Female" 40
25 " HS-grad" " Never-married" " White" " Male" 35
